銘柄コード,銘柄名称,前日終値,PBR
8306,(株)三菱ＵＦＪフィナンシャル・グループ,595.1,0.46
8604,野村ホールディングス(株),582.7,0.63
8918,(株)ランド,11,2.24
8698,マネックスグループ(株),967,3.25
7201,日産自動車(株),590.7,0.62
5020,ＥＮＥＯＳホールディングス(株),493.6,0.69
7211,三菱自動車(株),304,0.86
9984,ソフトバンクグループ(株),"9,391",2.31
6178,日本郵政(株),962.1,0.28
4689,Ｚホールディングス(株),563.1,3.26
9434,ソフトバンク(株),"1,439.5",6.64
9501,東京電力ホールディングス(株),361,0.19
8585,(株)オリエントコーポレーション,155,1.09
4902,コニカミノルタ(株),597,0.59
2749,(株)ＪＰホールディングス,281,2.69
8002,丸紅(株),911.3,0.95
6723,ルネサスエレクトロニクス(株),"1,243",3.61
1605,(株)ＩＮＰＥＸ,763,0.41
8411,(株)みずほフィナンシャルグループ,"1,595",0.45
2768,双日(株),308,0.63
8308,(株)りそなホールディングス,465.4,0.46
8750,第一生命ホールディングス(株),"2,083",0.49
8410,(株)セブン銀行,251,1.27
3436,(株)ＳＵＭＣＯ,"2,639",2.49
8593,三菱ＨＣキャピタル(株),652,0.73
6752,パナソニック(株),"1,409.5",1.47
7261,マツダ(株),878,0.52
6758,ソニーグループ(株),"11,650",2.80
8316,(株)三井住友フィナンシャルグループ,"3,964",0.47
4005,住友化学(株),568,1.01
4751,(株)サイバーエージェント,"2,020",11.72
2413,エムスリー(株),"8,059",29.55
6740,(株)ジャパンディスプレイ,49,3.54
2929,(株)ファーマフーズ,"3,795",24.56
6632,(株)ＪＶＣケンウッド,220,0.66
4755,楽天グループ(株),"1,309",2.94
8031,三井物産(株),"2,246.5",0.90
6472,ＮＴＮ(株),329,1.16
7751,キヤノン(株),"2,500",1.03
7203,トヨタ自動車(株),"8,423",1.09
2914,ＪＴ,"2,097.5",1.46
5401,日本製鉄(株),"1,812.5",0.66
8591,オリックス(株),"1,845.5",0.75
8058,三菱商事(株),"3,070",0.84
4188,(株)三菱ケミカルホールディングス,834.5,1.04
6501,(株)日立製作所,"4,926",1.63
5411,ジェイ　エフ　イー　ホールディングス(株),"1,288",0.46
9503,関西電力(株),"1,164",0.60
7167,(株)めぶきフィナンシャルグループ,258,0.31
7752,(株)リコー,"1,147",0.92
